iter	Passed	Remaining
455	782	2479
456	784	2477
457	787	2478
458	789	2478
459	791	2477
460	793	2476
461	794	2473
462	796	2471
463	797	2468
464	799	2467
465	801	2464
466	802	2463
467	804	2461
468	806	2459
469	807	2457
470	809	2455
471	810	2452
472	812	2450
473	813	2447
474	815	2447
475	817	2444
476	819	2443
477	820	2441
478	822	2440
479	824	2438
480	826	2436
481	827	2434
482	829	2434
483	831	2432
484	833	2431
485	834	2428
486	837	2428
487	839	2427
488	841	2429
489	844	2428
490	845	2427
491	847	2424
492	849	2423
493	851	2422
494	854	2424
495	856	2425
496	860	2429
497	862	2427
498	864	2427
499	866	2427
500	868	2426
501	870	2425
502	873	2425
503	876	2427
504	878	2425
505	879	2423
506	881	2422
507	884	2423
508	887	2424
509	888	2422
510	891	2424
511	893	2422
512	895	2420
513	896	2418
514	899	2420
515	901	2418
516	903	2417
517	905	2416
518	908	2417
519	909	2414
520	912	2414
521	913	2411
522	916	2413
523	919	2413
524	921	2413
525	923	2413
526	925	2410
527	927	2409
528	928	2407
529	930	2404
530	932	2404
531	934	2403
532	937	2404
533	940	2404
534	942	2404
535	943	2401
536	945	2399
537	947	2397
538	950	2400
539	952	2399
540	955	2399
541	956	2397
542	959	2396
543	960	2393
544	962	2392
545	964	2391
546	967	2394
547	971	2396
548	973	2395
549	975	2393
550	977	2392
551	979	2390
552	980	2389
553	982	2386
554	984	2385
555	985	2382
556	987	2381
557	988	2378
558	990	2376
559	991	2373
560	994	2372
561	995	2370
562	997	2368
563	998	2365
564	1000	2363
565	1001	2361
566	1003	2358
567	1004	2356
568	1006	2354
569	1007	2351
570	1009	2350
571	1011	2347
572	1012	2345
573	1014	2342
574	1015	2340
575	1017	2338
576	1018	2336
577	1020	2333
578	1021	2331
579	1023	2329
580	1024	2326
581	1026	2324
582	1027	2322
583	1029	2319
584	1031	2317
585	1032	2316
586	1035	2317
587	1039	2318
588	1041	2317
589	1043	2317
590	1046	2317
591	1048	2317
592	1050	2315
593	1052	2314
594	1054	2313
595	1056	2311
596	1058	2310
597	1060	2308
598	1062	2307
599	1064	2305
600	1065	2303
601	1068	2303
602	1070	2301
603	1071	2299
604	1073	2296
605	1076	2297
606	1078	2296
607	1080	2295
608	1081	2293
609	1084	2294
610	1086	2291
611	1087	2289
612	1089	2287
613	1091	2285
614	1093	2284
615	1094	2282
616	1096	2280
617	1098	2278
618	1100	2278
619	1102	2275
620	1103	2273
621	1105	2271
622	1108	2271
623	1109	2269
624	1111	2267
625	1112	2264
626	1114	2262
627	1116	2262
628	1118	2260
629	1120	2258
630	1121	2256
631	1124	2256
632	1126	2254
633	1127	2251
