iter	RMSE
209	541498.3604
210	540528.3614
211	539414.9656
212	538147.6643
213	537489.5159
214	537074.9225
215	536022.6847
216	534946.3964
217	534083.511
218	533472.6843
219	532919.9139
220	531997.8813
221	530558.5125
222	529167.4183
223	528112.5263
224	527422.7959
225	526958.3808
226	525457.4159
227	525029.8006
228	524007.3995
229	523498.9878
230	522665.4178
231	521994.3627
232	521279.6041
233	520768.2315
234	520337.021
235	519752.7897
236	518833.6433
237	518440.5025
238	517481.0766
239	516054.4743
240	515104.1279
241	514303.6323
242	513630.8425
243	513183.5956
244	512718.7599
245	512125.9119
246	511648.1401
247	510548.501
248	509405.209
249	508790.4017
250	508430.2312
251	507982.5419
252	507366.1537
253	507013.0162
254	506465.984
255	505970.4688
256	505592.309
257	504987.1778
258	504252.7021
259	503516.5808
260	503002.1613
261	502638.4679
262	502202.9129
263	501655.8289
264	501218.2974
265	499718.2303
266	499010.6577
267	498273.1872
268	497507.162
269	496172.9684
270	495580.3709
271	495017.0649
272	494571.3849
273	493432.8916
274	492957.5618
275	492726.2662
276	492138.9247
277	491252.1097
278	490654.2329
279	490091.5733
280	489813.3307
281	489430.257
282	488480.672
283	487506.1105
284	487171.1617
285	486597.6477
286	485994.4
287	485619.806
288	485264.0868
289	484481.1917
290	484220.4738
291	482918.2601
292	482084.0326
293	481631.1553
294	481281.6965
295	480524.7549
296	480176.2003
297	478821.4176
298	478315.3647
299	478040.792
300	477556.0242
301	477259.0128
302	475997.8319
303	475667.2805
304	475082.403
305	474623.4625
306	474381.9132
307	473342.5292
308	473073.1387
309	472749.4503
310	472470.7986
311	472055.7648
312	471779.3808
313	471322.9134
314	471083.064
315	470806.4017
316	470154.1442
317	469869.1622
318	468876.6699
319	468631.6502
320	468320.703
321	467296.3179
322	467025.9784
323	466669.7665
324	466277.2951
325	465988.0841
326	465715.8009
327	465048.4931
328	464280.647
329	463948.8673
330	463737.5545
331	463516.5867
332	463304.2325
333	462857.9541
334	462583.1492
335	462280.2462
336	462076.7789
337	461851.3608
338	461598.9257
339	460588.8512
340	460344.4286
341	459779.0039
342	459158.6477
343	458938.6409
344	457940.5518
345	457469.1194
346	457268.7481
347	456866.0513
348	456098.6124
349	455948.5573
350	454966.8775
351	454715.0678
352	454331.407
353	454027.1175
354	453750.9636
355	453431.9511
356	453070.0997
357	452667.8848
358	452450.2111
359	451438.2858
360	451139.6008
361	450918.5909
362	450795.1245
363	449940.9071
364	449730.9581
365	449056.1176
366	448506.8386
367	448279.0688
368	448100.4663
369	447800.0716
370	446960.5177
371	446729.9124
372	446463.1128
373	445603.716
374	445402.3738
375	444693.0808
376	444503.6678
377	444311.0226
378	444158.0629
379	443876.2398
380	443520.3042
381	443098.6384
382	442024.9575
383	441255.0378
384	441097.6581
385	440823.336
386	440721.2432
387	440530.0885
388	440303.7199
389	440131.7805
390	439403.7709
391	438784.8185
392	438114.4019
393	437850.5533
394	437680.6632
395	437411.0021
396	436906.0574
397	436218.0961
398	436040.0737
399	435481.3014
400	434826.3915
401	434160.4355
402	433851.0524
403	433687.2622
404	433520.7653
405	433363.9537
406	433082.8855
407	432928.7072
408	432642.1638
409	432490.3695
410	432033.6637
411	431276.1279
412	431122.8168
413	430974.4818
414	430737.727
415	430428.3682
416	429675.7595
417	429555.4403
418	428753.1931
419	428303.1897
420	427730.5013
421	427149.9149
422	426876.802
423	426639.8009
424	426444.8916
425	425874.7835
426	425623.3758
427	425082.7341
428	424842.1726
429	424297.1327
430	424059.9839
431	423978.7047
432	423844.4208
433	423583.1228
434	422861.159
435	422218.3157
436	422059.5906
437	421426.8589
438	421315.8169
439	421207.6354
440	420661.6088
441	420141.188
442	420030.9079
443	419539.2621
444	419431.8907
445	419241.374
446	418656.2422
447	418016.4028
448	417911.2745
449	417751.0808
450	417647.8449
451	417142.0985
452	416627.0535
453	416385.5802
454	415918.6222
455	415796.6736
456	415617.6357
457	415403.3415
458	414493.4569
459	414065.8223
460	413644.0186
461	413215.5582
462	413117.6287
463	412524.6088
464	411791.5158
465	411048.5778
466	410843.524
467	410710.7809
468	410459.0169
469	410037.1184
470	409547.56
471	409462.2223
472	409022.9221
473	408599.4609
474	408201.3403
475	407878.4343
476	407792.5253
477	407680.1095
478	407234.6708
479	406969.1625
480	406330.555
481	405923.5221
482	405778.562
483	405274.5728
484	404880.0379
485	404622.5439
486	404364.2936
487	404239.5009
488	403640.4017
489	403513.794
490	403196.8109
491	402817.6979
492	402734.3936
493	402658.9633
494	402539.7996
495	402374.8784
496	402056.9502
497	401432.6798
498	400608.3947
499	400240.6788
500	399700.143
501	399598.9792
502	399504.3439
503	399152.3682
504	398909.7761
505	398765.0579
506	398603.1867
507	398319.7392
508	398163.8698
509	398090.6283
510	397936.3556
511	397421.9312
512	397191.4563
513	396855.388
514	396783.237
515	396731.7703
516	396602.5575
517	396499.8556
518	396220.7872
519	396071.0088
520	395817.7269
521	395593.3026
522	395163.1342
523	395033.2479
524	394963.4419
525	394874.3025
526	394752.558
527	394265.4294
528	394198.5377
529	393858.6835
530	393428.4784
531	393209.9112
532	393064.6193
533	392553.2713
534	391774.2336
535	391567.0165
536	391317.2779
537	391249.1666
538	390704.8893
539	390213.4574
540	390129.5599
541	389638.2426
542	389397.5846
543	388908.7535
544	388682.5631
545	388202.9883
546	388009.1655
547	387540.2737
548	387049.3778
549	386606.308
550	386262.7931
551	385803.9423
552	385195.4807
553	384975.4666
554	384903.17
555	384454.2865
556	384264.2487
557	383873.4599
558	383450.8806
559	383014.5907
560	382778.8559
561	382436.5482
562	381988.7831
563	381615.0002
564	381552.4034
565	380822.6932
566	380380.3309
567	380192.6183
568	379787.7556
569	379599.801
570	379306.2702
571	378913.7816
572	378592.3809
573	378481.2359
574	378045.7376
575	377927.166
576	377416.7434
577	377233.6606
578	377116.5997
579	376796.2963
580	376583.5795
581	376415.8062
582	375921.2275
583	375641.749
584	375532.1971
585	375447.6893
586	375183.5517
587	374863.1581
588	374578.2693
589	374535.1155
590	374491.1041
591	374304.6816
592	374177.6643
593	374071.4445
594	373857.6409
595	373119.3172
596	372855.0581
597	372673.2922
598	371930.5024
599	371861.4965
600	371273.0916
601	370895.9247
602	370701.0932
603	370440.4187
604	370385.6057
605	370188.0604
606	369943.5768
607	369572.5165
608	369362.228
609	369220.3115
610	369178.8121
611	368585.463
612	368137.7063
613	368097.0081
614	367955.6536
615	367582.8635
616	367422.0772
617	367232.8784
618	367027.8733
619	366890.4503
620	366500.118
621	366430.1248
622	366259.6984
623	366083.5009
624	365564.5845
625	365524.8116
626	365309.0355
627	365027.1876
628	364829.6387
629	364635.1501
630	364584.5627
631	364236.3578
632	364185.9642
633	363860.4802
634	363236.795
635	363043.3523
636	362913.5165
637	362749.9121
638	362616.8498
639	362013.393
640	361492.758
641	361303.4075
642	361111.1061
643	360953.3931
644	360769.0299
645	360577.8172
646	360484.1464
647	360391.33
648	360267.6302
649	360217.5272
650	360031.6764
651	359937.9912
652	359775.8574
653	359425.6285
654	359247.6402
655	359202.3865
656	359110.7025
657	358961.8224
658	358828.7584
659	358369.8415
660	358147.1404
661	357809.4047
662	357631.7882
663	357290.6525
664	357051.3485
665	356711.0864
666	356661.2867
667	356215.7534
668	356166.9872
669	356128.0669
670	355748.1936
671	355680.795
672	355588.8194
673	355429.8335
674	354791.4553
675	354347.8257
676	354082.9809
677	354002.2079
678	353907.5698
679	353768.0231
680	353709.8268
681	353571.8553
682	353218.6279
683	353170.6878
684	353106.3033
685	352752.3212
686	352568.2492
687	352276.913
688	352187.268
689	351740.9657
690	351535.9156
691	351494.3149
692	351330.4544
693	350932.8522
694	350817.8637
695	350776.9724
696	350489.1272
697	350426.2957
698	349944.6322
699	349783.6619
700	349720.8485
701	349590.9778
702	349539.8801
703	349323.5617
704	348950.5237
705	348893.977
706	348797.8028
707	348620.9963
708	348570.2546
709	348515.5493
710	348021.6853
711	347951.4722
712	347886.547
713	347762.519
714	347707.9607
715	347637.7866
716	347446.0213
717	347385.6926
718	347329.2312
719	347122.7882
720	347078.6534
721	346997.1641
722	346824.309
723	346578.5791
724	346311.5144
725	346267.9515
726	346224.5693
727	346192.0699
728	345766.0389
729	345200.9837
730	344922.0134
731	344867.0522
732	344584.2941
733	344290.8655
734	344032.5308
735	343457.4998
736	343069.9059
737	343037.3421
738	343005.004
739	342972.8897
740	342554.7824
741	342124.4112
742	342089.0668
743	342010.7443
744	341648.9982
745	341617.5721
746	341514.8992
747	341437.2555
748	341405.9742
749	340991.2931
750	340929.86
751	340901.9281
752	340499.3327
753	340423.1389
754	340372.1531
755	339825.4619
756	339751.7015
757	339501.4996
758	339477.7821
759	339428.5025
760	339178.7788
761	339128.5149
762	339079.4471
763	338947.0369
764	338868.2747
765	338751.9991
766	338667.2233
767	338637.4327
768	338551.0216
769	338463.4026
770	338433.2423
771	338084.9272
772	337684.5659
773	337354.1335
774	337325.1481
775	337080.6753
776	336696.1674
777	336320.3972
778	336234.7515
779	336212.2682
780	336141.289
781	335852.7323
782	335438.6942
783	335067.2371
784	334631.4741
785	334302.69
786	333814.4624
787	333768.4299
788	333404.2935
789	333371.2231
790	333302.2999
791	332758.4363
792	332404.6869
793	332264.9945
794	331947.157
795	331869.1486
796	331649.8461
797	331515.1927
798	331441.9501
799	331106.7882
800	330649.7175
801	330340.3721
802	329858.3776
803	329827.6731
804	329693.3871
805	329616.0724
806	329529.3239
807	328964.2035
808	328919.8423
809	328557.6396
810	328470.0914
811	328078.1168
812	328047.4338
813	327991.09
814	327530.2434
815	327282.4809
816	326831.4525
817	326596.9726
818	326325.4261
819	326028.6668
820	325995.9596
821	325557.2677
822	325474.6456
823	325391.5137
824	325361.9868
825	325037.9944
826	324721.9875
827	324488.2893
828	324061.1109
829	323987.3771
830	323678.4774
831	323605.822
832	323304.6163
833	323281.719
834	323188.9396
835	323161.2137
836	322862.6394
837	322744.3973
838	322672.1342
839	322451.4465
840	322132.7195
841	322054.3112
842	321743.9716
843	321509.0975
844	321201.1825
845	320976.6022
846	320739.836
847	320254.0785
848	319961.4351
849	319892.0228
850	319827.0984
851	319569.1008
852	319251.9373
853	319118.7192
854	319100.6174
855	318898.9482
856	318839.7913
857	318767.5496
858	318406.2086
859	318126.9104
860	317746.0614
861	317267.4874
862	317191.8218
863	317172.8146
864	316859.012
865	316584.8511
866	316253.1658
867	315844.4525
868	315723.5414
869	315569.6289
870	315495.5135
871	315228.9266
872	314932.6136
873	314738.3119
874	314622.7134
875	314142.9386
876	314035.3701
877	313887.4592
878	313630.9648
879	313409.4211
880	313153.2437
881	312947.7499
882	312877.2087
883	312539.6293
884	312340.2311
885	312295.6813
886	312225.9334
887	312141.7586
888	311705.0286
889	311338.5836
890	311311.1967
891	311128.6151
892	310928.2177
893	310882.8271
894	310829.4449
895	310373.3484
896	310121.937
897	309842.1193
898	309674.464
899	309512.7395
900	309116.5065
901	309092.0979
902	308875.7221
903	308775.183
904	308593.2961
905	308541.1025
906	308474.0973
907	308313.7164
908	308138.8027
909	308090.3727
910	307894.888
911	307584.8015
912	307402.4832
913	307376.6254
914	307078.6553
915	306625.8489
916	306527.9645
917	306484.3873
918	306468.8928
919	306418.5869
920	306235.021
921	306129.62
922	305993.9741
923	305715.669
924	305559.9801
925	305318.2251
926	305151.1115
927	305064.3296
928	305005.6199
929	304781.079
930	304740.8477
931	304663.5429
932	304621.577
933	304430.3705
934	304410.3348
935	304284.6085
936	303960.3457
937	303921.1888
938	303650.3485
939	303515.701
940	303392.8309
941	303371.3156
942	303307.3964
943	303249.051
944	303221.4423
945	302945.2495
946	302925.7709
947	302756.7483
948	302734.9996
949	302506.3943
950	302380.1257
951	302320.5579
952	302187.2688
953	302162.3194
954	301843.1154
955	301642.412
956	301581.3757
957	301515.0193
958	301493.5671
959	301421.3235
960	301391.3506
961	301354.0895
962	301223.5185
963	300874.3169
964	300849.6543
965	300588.6226
966	300564.1335
967	300462.9505
968	300405.4281
969	300065.1774
970	299843.7372
971	299790.3924
972	299748.7196
973	299620.0626
974	299270.8256
975	299122.6019
976	299100.7075
977	299074.2724
978	299006.1931
979	298985.5957
980	298789.736
981	298628.6618
982	298270.2609
983	298241.3638
984	298227.9039
985	298184.1557
986	297869.0032
987	297453.1589
988	297207.0054
989	297071.9393
990	296810.2903
991	296647.298
992	296195.499
993	296118.0327
994	296075.2338
995	295999.3706
996	295901.8841
997	295877.3662
998	295859.9709
999	295812.5562
1000	295583.717
1001	295439.07
1002	295263.7764
1003	295029.2225
1004	294946.9618
1005	294790.8851
1006	294552.2905
1007	294407.8749
1008	294308.103
1009	294288.7809
1010	294269.4213
1011	294078.339
1012	293955.3257
1013	293705.3376
1014	293632.917
1015	293612.7217
1016	293389.5169
1017	293370.4354
1018	293349.8724
1019	293188.5216
1020	293169.276
1021	293042.6078
1022	292919.1958
1023	292885.8133
1024	292751.3497
1025	292587.1204
1026	292546.1069
1027	292209.2865
1028	292038.9727
1029	292012.6188
1030	291821.1523
1031	291726.9669
1032	291708.6414
1033	291475.7846
1034	291382.7898
1035	291353.622
1036	291308.1435
1037	291290.2171
1038	291199.2142
1039	290928.4991
1040	290844.3739
1041	290743.7097
1042	290670.9337
1043	290579.3594
1044	290367.107
1045	290249.9157
1046	290232.0515
1047	289881.5508
1048	289610.329
1049	289553.1831
1050	289326.2318
1051	289308.5901
1052	289301.2638
1053	289244.654
1054	289077.2638
1055	288978.556
1056	288904.0833
1057	288683.385
1058	288560.014
1059	288430.2307
1060	288411.31
1061	288321.7052
1062	288154.9219
1063	287984.9454
1064	287835.4158
1065	287697.5222
1066	287675.9462
1067	287441.4362
1068	287424.115
1069	287407.5128
1070	287336.9826
1071	287222.6107
1072	287123.0552
1073	287104.6201
1074	286948.1662
1075	286855.6652
1076	286698.2549
1077	286513.3548
1078	286146.6696
1079	286073.354
1080	285779.1912
1081	285712.9912
1082	285600.2187
1083	285508.1701
1084	285443.4073
1085	285387.2758
1086	285209.3441
1087	285098.471
1088	284942.9061
1089	284875.2536
1090	284786.5412
1091	284435.1544
1092	284092.983
1093	284007.3025
1094	283839.3922
1095	283621.2291
1096	283274.347
1097	283147.6306
1098	283039.6517
1099	282946.3805
1100	282665.3213
1101	282442.7764
1102	282337.1568
1103	282082.3968
1104	281941.0339
1105	281879.9304
1106	281803.3954
1107	281653.1633
1108	281371.1828
1109	281286.6779
1110	281157.0209
1111	280990.2451
1112	280930.2983
1113	280910.9087
1114	280597.2319
1115	280494.1524
1116	280401.2332
1117	280305.0652
1118	280224.1597
1119	279818.5653
1120	279717.9345
1121	279387.6878
1122	279225.921
1123	278960.0834
1124	278892.8019
1125	278828.7968
1126	278693.962
1127	278627.4992
1128	278554.774
1129	278473.6821
1130	278374.0047
1131	278329.531
1132	278247.6896
1133	278182.5137
1134	278104.0115
1135	277830.6698
1136	277508.3926
1137	277417.3624
1138	277271.7518
1139	277020.4272
1140	276896.9278
1141	276847.0007
1142	276805.6862
1143	276753.0616
1144	276510.259
1145	276299.4663
1146	276172.2149
1147	276083.6705
1148	276035.2885
1149	275793.548
1150	275687.1988
1151	275514.3489
1152	275453.2305
1153	275413.0962
1154	275188.2516
1155	274876.9078
1156	274776.2591
1157	274518.1271
1158	274419.0485
1159	274245.9326
1160	274131.6116
1161	274036.8407
1162	273700.6408
1163	273635.2727
1164	273424.5849
1165	273218.8859
1166	273146.5651
1167	272927.7093
1168	272864.1354
1169	272661.9587
1170	272549.5693
1171	272431.2948
1172	272396.9469
1173	272299.7753
1174	272036.0969
1175	271822.9324
1176	271598.3708
1177	271473.7839
1178	271147.1193
1179	270909.883
1180	270864.2829
1181	270652.8683
1182	270486.3349
1183	270321.1303
1184	270215.5227
1185	270000.914
1186	269908.4899
1187	269800.226
1188	269755.0346
1189	269510.0648
1190	269399.9689
1191	269042.9657
1192	268947.4226
1193	268909.4481
1194	268750.508
1195	268435.3024
1196	268314.2231
1197	268083.4855
1198	267893.5759
1199	267668.9879
1200	267591.0967
1201	267319.5829
1202	267235.3015
1203	267120.0638
1204	267027.0089
1205	266827.7821
1206	266759.7624
1207	266722.6615
1208	266437.5547
1209	266410.3162
1210	266257.4299
1211	266172.6236
1212	266114.6682
1213	265887.3954
1214	265712.5217
1215	265697.8395
1216	265469.7929
1217	265413.6332
1218	265051.1054
1219	264836.3898
1220	264641.3177
1221	264582.5808
1222	264336.1829
1223	264118.1548
1224	264057.4947
1225	263978.9183
1226	263893.7336
1227	263722.4731
1228	263639.0589
1229	263394.4352
1230	263309.5452
1231	263182.3248
1232	262975.6533
1233	262759.6588
1234	262679.7667
1235	262604.8292
1236	262496.6356
1237	262298.6324
1238	262216.0997
1239	262138.8338
1240	262055.1604
1241	261846.5482
1242	261668.9768
1243	261544.9101
1244	261448.8338
1245	261314.701
1246	261238.8444
1247	261043.7584
1248	260866.5471
1249	260676.7538
1250	260647.0602
1251	260594.4174
1252	260503.5745
1253	260236.5481
1254	260063.2509
1255	259904.156
1256	259850.1407
1257	259680.8867
1258	259486.3413
1259	259355.1291
1260	259120.4509
1261	258965.1661
1262	258889.0222
1263	258739.4911
1264	258576.9208
1265	258543.9265
1266	258345.1565
1267	258214.1035
1268	258048.3068
1269	257821.3597
1270	257803.0987
1271	257739.8538
1272	257538.594
1273	257520.4913
1274	257467.9011
1275	257239.6111
1276	257073.8829
1277	256884.7048
1278	256809.3405
1279	256725.9964
1280	256474.6972
1281	256355.5512
1282	256202.7536
1283	256127.8243
1284	256040.3554
1285	255979.4647
1286	255918.8551
1287	255901.5161
1288	255800.4113
1289	255783.164
1290	255768.1099
1291	255581.8181
1292	255290.5599
1293	255131.3234
1294	254905.4546
1295	254872.9683
1296	254811.4582
1297	254591.7885
1298	254346.9845
1299	254183.6028
1300	254058.659
1301	253880.3047
1302	253773.8219
1303	253691.4195
1304	253587.493
1305	253256.581
1306	253139.2768
1307	253059.045
1308	252824.4631
1309	252781.0517
1310	252546.7285
1311	252353.9891
1312	252320.0978
1313	252230.181
1314	252200.6756
1315	252108.6869
1316	251997.2861
1317	251851.9872
1318	251776.8085
1319	251633.3552
1320	251519.027
1321	251493.557
1322	251476.8676
1323	251459.1956
1324	251356.2491
1325	251253.9318
1326	251079.6841
1327	251032.7642
1328	250937.9812
1329	250873.4597
1330	250619.6754
1331	250547.8329
1332	250418.4434
1333	250293.2836
1334	250108.9001
1335	250091.9358
1336	250032.5183
1337	250016.1505
1338	249930.5027
1339	249851.792
1340	249582.7568
1341	249350.5741
1342	249163.7479
1343	249101.2252
1344	248964.0431
1345	248895.5539
1346	248865.0133
1347	248775.6216
1348	248683.2269
1349	248598.5604
1350	248566.1923
1351	248433.072
1352	248161.1981
1353	248144.67
1354	248128.8168
1355	247956.9987
1356	247744.1362
1357	247579.0728
1358	247307.2137
1359	247124.6499
1360	247062.3168
1361	246796.5548
1362	246572.6992
1363	246438.0815
1364	246422.8205
1365	246328.1971
1366	246126.7643
1367	246065.9086
1368	245890.6888
1369	245655.8411
1370	245552.9557
1371	245436.3575
1372	245303.8513
1373	245136.1966
1374	244906.9378
1375	244807.5948
1376	244718.4819
1377	244565.4679
1378	244419.9811
1379	244370.0101
1380	244268.6612
1381	244077.8327
1382	244037.9371
1383	243850.8251
1384	243763.2498
1385	243610.1745
1386	243452.6487
1387	243431.5111
1388	243138.5031
1389	243123.7708
1390	243040.4619
1391	242942.3519
1392	242813.7007
1393	242653.7418
1394	242562.2636
1395	242503.7781
1396	242337.9852
1397	242291.4465
1398	242107.1269
1399	242061.2279
1400	242019.5578
1401	241823.4157
1402	241672.3269
1403	241549.2705
1404	241443.9183
1405	241353.9933
1406	241267.0414
1407	241147.0911
1408	241059.3035
1409	241028.1006
1410	240805.558
1411	240705.3011
1412	240654.6435
1413	240431.8885
1414	240305.7909
1415	240157.8438
1416	240054.1762
1417	239836.6719
1418	239596.5804
1419	239493.7396
1420	239317.774
1421	239221.1917
1422	239100.0074
1423	239035.2593
1424	238975.0594
1425	238943.3915
1426	238825.0757
1427	238724.5465
1428	238505.7717
1429	238327.2395
1430	238229.2349
1431	238111.8752
1432	238051.126
1433	238020.4332
1434	237980.4944
1435	237899.4225
1436	237776.7667
1437	237591.3086
1438	237413.7385
1439	237374.0924
1440	237304.3831
1441	237210.9163
1442	237133.5496
1443	236993.8604
1444	236808.4863
1445	236685.3257
1446	236671.055
1447	236531.8077
1448	236421.9985
1449	236342.6505
1450	236254.9606
1451	236114.8108
1452	235993.7747
1453	235814.4915
1454	235575.9375
1455	235520.9024
1456	235410.1414
1457	235378.6108
1458	235317.0448
1459	235282.7364
1460	235154.0435
1461	235016.4649
1462	234971.9752
1463	234933.1088
1464	234847.6223
1465	234784.7646
1466	234754.2696
1467	234625.0197
1468	234477.4484
1469	234291.7687
1470	234263.899
1471	234027.1499
1472	233989.166
1473	233803.8214
1474	233782.3031
1475	233715.8767
1476	233642.6616
1477	233613.2677
1478	233469.2677
1479	233440.5488
1480	233366.4143
1481	233184.6815
1482	233001.6989
1483	232767.2681
1484	232711.1237
1485	232674.5104
1486	232461.6599
1487	232363.0862
1488	232203.6943
1489	232068.6513
1490	232014.874
1491	231726.9155
1492	231703.8423
1493	231679.3555
1494	231540.8183
1495	231512.0764
1496	231277.3836
1497	231077.4124
1498	231059.3175
1499	230998.315
1500	230822.7004
1501	230661.1793
1502	230460.6771
1503	230354.9177
1504	230163.8392
1505	230118.9221
1506	229986.0176
1507	229882.2086
1508	229802.5327
1509	229760.4846
1510	229622.8873
1511	229558.2555
1512	229452.8514
1513	229364.3432
1514	229263.2993
1515	229212.534
1516	229183.5132
1517	229012.0762
1518	228881.1433
1519	228606.5773
1520	228531.8901
1521	228458.9639
1522	228320.8405
1523	228302.1237
1524	228260.5713
1525	228233.409
1526	228135.9756
1527	228070.6213
1528	227941.0757
1529	227818.0845
1530	227809.0175
1531	227720.6447
1532	227649.2988
1533	227574.5123
1534	227358.5139
1535	227296.9716
1536	227148.9202
1537	227047.8443
1538	226951.331
1539	226804.3994
1540	226763.6618
1541	226566.2058
1542	226390.1449
1543	226305.5274
1544	226258.0999
1545	226126.6747
1546	226061.8806
1547	225857.465
1548	225606.699
1549	225505.1014
1550	225420.6496
1551	225385.5377
1552	225322.3633
1553	225287.8699
1554	225149.3368
1555	224981.3643
1556	224948.0275
1557	224802.2177
1558	224641.3691
1559	224543.688
1560	224510.4661
1561	224328.9752
1562	224268.5236
1563	224130.7227
1564	223990.9368
1565	223964.3387
1566	223894.0122
1567	223809.8103
1568	223655.5246
1569	223551.7644
1570	223527.7846
1571	223509.6628
1572	223304.4041
1573	223212.8524
1574	223157.3893
1575	223141.2887
1576	223076.3133
1577	223044.7632
1578	223024.0869
1579	222897.2578
1580	222872.4727
1581	222791.5878
1582	222733.7634
1583	222669.6266
1584	222520.5126
1585	222481.2914
1586	222468.8442
1587	222418.0306
1588	222402.7086
1589	222287.1342
1590	222243.2549
1591	222167.064
1592	222141.5346
1593	222046.3893
1594	221876.3556
1595	221817.4929
1596	221580.5546
1597	221555.4281
1598	221382.5308
1599	221305.312
1600	221232.9387
1601	221185.8211
1602	221172.3354
1603	221150.5744
1604	221074.6022
1605	220900.2714
1606	220817.6905
1607	220655.1126
1608	220571.3206
1609	220349.54
1610	220241.0666
1611	220106.4172
1612	219985.2615
1613	219874.04
1614	219705.1888
1615	219657.7933
1616	219519.915
1617	219458.8727
1618	219432.2396
1619	219407.0679
1620	219222.3077
1621	218993.4548
1622	218831.0875
1623	218806.6868
1624	218726.7857
1625	218695.7275
1626	218587.7449
1627	218387.5626
1628	218355.9072
1629	218228.3114
1630	218195.4529
1631	217918.0424
1632	217828.0966
1633	217804.1056
1634	217769.7418
1635	217713.0084
1636	217617.4898
1637	217418.2301
1638	217406.5561
1639	217243.4381
1640	217212.6685
1641	217068.6597
1642	216987.8478
1643	216805.3218
1644	216760.9062
1645	216579.1433
1646	216479.2574
1647	216410.0589
1648	216282.8072
1649	216113.1861
1650	216061.8353
1651	216011.9578
1652	215856.0139
1653	215719.0524
1654	215655.5739
1655	215550.4716
1656	215511.5312
1657	215302.8068
1658	215170.1925
1659	215106.7021
1660	215068.895
1661	214995.153
1662	214928.6097
1663	214831.8132
1664	214736.6877
1665	214695.8779
1666	214672.2368
1667	214666.5776
1668	214577.8927
1669	214436.1268
1670	214283.6184
1671	214240.3844
1672	214233.7515
1673	214191.1348
1674	214114.7252
1675	214065.1503
1676	214046.7563
1677	213874.9211
1678	213798.431
1679	213716.6929
1680	213624.1552
1681	213582.0373
